city,district,district_en,location,lat,lon
Вологда,Отдел полиции № 1 УМВД по г. Вологде,Police Department No. 1 Umvd in Vologda,Отдел полиции № 1 УМВД по г. Вологде,59.20854,39.88498
Мурманск,Отдел полиции № 1 УМВД по городу Мурманску,Police Department No. 1 Ministry of Internal Affairs in the city of Murmansk,"Отдел полиции № 1 УМВД по городу Мурманску, Мурманск",68.96289,33.0691
Рязань,Отдел полиции № 3 (по Железнодорожному району города Рязани),Police Department No. 3 (for the Railway Railway Railway),"Отдел полиции № 3 (по Железнодорожному району города Рязани), Рязань",54.62627,39.71609
Красноярск,Отдел полиции № 1 МУ МВД «Красноярское»,"Police Department No. 1 MU MVD ""Krasnoyarskoye""","Отдел полиции № 1 МУ МВД «Красноярское», Красноярск",55.76997,37.61325
Томск,Отдел полиции № 3 (по обслуживанию внутригородской территории Советский район) УМВД по городу Томску,Police Department No. 3 (for the service of the Intorodsk territory Soviet district) Ministry of Internal Affairs of the city Tomsk,"Отдел полиции № 3 (по обслуживанию внутригородской территории Советский район) УМВД по городу Томску, Томск",55.55446,37.71011
Пенза,Отдел полиции № 1 УМВД по городу Пензе,Police Department No. 1 Ministry of Internal Affairs in Penza,"Отдел полиции № 1 УМВД по городу Пензе, Пенза",53.19959,45.00121
Выборг,Управление МВД России по Выборгскому району,Office of the Ministry of Internal Affairs of Russia in Vyborg district,"Управление МВД России по Выборгскому району, Выборг",61.11519,28.85195
Брянск,Отдел полиции № 1 (Бежицкий район г. Брянска),Police Department No. 1 (Bezhitsky district of Bryansk),Отдел полиции № 1 (Бежицкий район г. Брянска),53.30853,34.3153
Брянск,УМВД России по г. Брянску,Ministry of Internal Affairs of Russia in Bryansk,УМВД России по г. Брянску,53.26081,34.34316
Челябинск,Отдел полиции № 1 (Ленинский район) УМВД по городу Челябинску,Police Department No. 1 (Leninsky District) Ministry of Internal Affairs in the city of Chelyabinsk,"Отдел полиции № 1 (Ленинский район) УМВД по городу Челябинску, Челябинск",55.19416,61.34033
Челябинск,Отдел полиции № 5 (Центральный район) УМВД по городу Челябинску,Police Department No. 5 (Central District) Ministry of Internal Affairs in the city of Chelyabinsk,"Отдел полиции № 5 (Центральный район) УМВД по городу Челябинску, Челябинск",55.19416,61.34033
Смоленск,Отдел полиции № 1 УМВД по городу Смоленску,Police Department No. 1 Ministry of Internal Affairs in the city of Smolensk,"Отдел полиции № 1 УМВД по городу Смоленску, Смоленск",54.77323,32.0477
Владивосток,УМВД по городу Владивостоку (отдел полиции № 1),UMVD in the city of Vladivostok (police department number 1),"УМВД по городу Владивостоку (отдел полиции № 1), Владивосток",43.15522,131.9087
Тольятти,Отдел полиции № 24,Police Department No. 24,"Отдел полиции № 24, Тольятти",53.53228,49.41202
Чебоксары,Отдел полиции № 1 УМВД по г. Чебоксары,Police Department No. 1 Umvd in Cheboksary,Отдел полиции № 1 УМВД по г. Чебоксары,56.12688,47.2455
Пущино,Отдел полиции «Пущинский»,"Police Department ""Pushchinsky""","Отдел полиции «Пущинский», Пущино",54.8275,37.62024
Ульяновск,Отдел МВД по Ленинскому району,Department of the Ministry of Internal Affairs for Leninsky District,"Отдел МВД по Ленинскому району, Ульяновск",54.32838,48.39287
Коломна,УМВД России по Коломенскому городскому округу,Ministry of Internal Affairs of Russia in Kolomna City District,"УМВД России по Коломенскому городскому округу, Коломна",55.07339,38.78404
Самара,Отдел полиции № 4,Police Department number 4,"Отдел полиции № 4, Самара",53.21078,50.1445
Самара,Отдел полиции № 5,Police Department No. 5,"Отдел полиции № 5, Самара",53.20144,50.18793
Тула,Отдел полиции «Центральный» УМВД по г. Туле,"Police Department ""Central"" Ministry of Internal Affairs in Tula",Отдел полиции «Центральный» УМВД по г. Туле,54.18882,37.62594
Прохладный,Межмуниципальный отдел МВД России «Прохладненский»,"Intermunicipal department of the Ministry of Internal Affairs of Russia ""Prokhaladnsky""","Межмуниципальный отдел МВД России «Прохладненский», Прохладный",55.56464,37.46548
Фрязино,Отдел полиции по г. о. Фрязино МУ МВД «Щелковское»,"Police department for city oh. Fryazino MU MVD ""Schelkovskaya""",Отдел полиции по г. о. Фрязино МУ МВД «Щелковское»,55.95319,38.04048
Нальчик,Отдел полиции № 2 УМВД по г. Нальчик,Police Department No. 2 Umvd in Nalchik,Отдел полиции № 2 УМВД по г. Нальчик,43.50574,43.63972
Курск,Отдел полиции № 1,Police Department No. 1,"Отдел полиции № 1, Курск",51.72317,36.18753
Кострома,УМВД России по городу Костроме,Ministry of Internal Affairs of Russia in the city of Kostroma,"УМВД России по городу Костроме, Кострома",57.74745,41.01149
Евпатория,Отдел МВД по г. Евпатории,Department of the Ministry of Internal Affairs in Evpatoria,Отдел МВД по г. Евпатории,55.76474,37.61154
Железноводск,Отдел МВД по г. Железноводску,Department of the Ministry of Internal Affairs in Zheleznovodsk,Отдел МВД по г. Железноводску,44.14848,43.00823
Ярославль,Отдел МВД России по Кировскому городскому району,Department of the Ministry of Internal Affairs of Russia in the Kirov City District,"Отдел МВД России по Кировскому городскому району, Ярославль",57.62253,39.88211
Дубна,Отдел МВД по г. о. Дубна,Department of the Ministry of Internal Affairs in the city of about. Dubna,Отдел МВД по г. о. Дубна,56.74933,37.20401
Москва,ОМВД России по Даниловскому району г. Москвы,OMVD of Russia in the Danilovsky district of Moscow,ОМВД России по Даниловскому району г. Москвы,55.7044,37.65522
Москва,Отдел МВД России по Нижегородскому району,Department of the Ministry of Internal Affairs of Russia in Nizhny Novgorod District,"Отдел МВД России по Нижегородскому району, Москва",55.73482,37.68153
Москва,ОМВД Алексеевский,OMVD Alekseevsky,"ОМВД Алексеевский, Москва",55.80824,37.64391
Москва,Отдел МВД России по району Дорогомилово г. Москвы,Department of the Ministry of Internal Affairs of Russia in the Dorogomilovo district of Moscow,Отдел МВД России по району Дорогомилово г. Москвы,55.7429,37.5288
Москва,ОМВД Марьина Роща,OMVD Maryina Rosch,"ОМВД Марьина Роща, Москва",55.78899,37.61786
Москва,ОМВД России по району Зюзино г. Москвы,OMVD of Russia in the area of ​​Zyuzino Moscow,ОМВД России по району Зюзино г. Москвы,55.63988,37.59078
Москва,Отдел МВД по Гагаринскому району,Department of the Ministry of Internal Affairs for the Gagarin district,"Отдел МВД по Гагаринскому району, Москва",55.6973,37.55717
Москва,ОМВД России по Войковскому району,OMVD of Russia in the Voorovsky District,"ОМВД России по Войковскому району, Москва",55.82154,37.50198
Москва,ОМВД России по району Савеловский г. Москвы,OMVD of Russia in the district of Savelovsky Moscow,ОМВД России по району Савеловский г. Москвы,55.79352,37.57493
Москва,Отдел МВД России по району Печатники,Department of the Ministry of Internal Affairs of Russia in the area of ​​Printedry,"Отдел МВД России по району Печатники, Москва",55.68012,37.70107
Москва,Отдел МВД России по району Измайлово Восточное г. Москвы,Department of the Ministry of Internal Affairs of Russia in the area of ​​Izmailovo Eastern Moscow,Отдел МВД России по району Измайлово Восточное г. Москвы,55.79193,37.81581
Москва,ОМВД России по району Проспект Вернадского г. Москвы,OMVD of Russia in the district Prospekt Vernadsky Moscow,ОМВД России по району Проспект Вернадского г. Москвы,55.67482,37.49531
Москва,ОМВД России по району Филевский парк г. Москвы,OMVD of Russia in the district Filevsky Park of Moscow,ОМВД России по району Филевский парк г. Москвы,55.74642,37.50365
Москва,Отдел МВД России по району Марьино,Department of the Ministry of Internal Affairs of Russia in the area of ​​Marino,"Отдел МВД России по району Марьино, Москва",55.66987,37.75103
Санкт-Петербург,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs for Pushkinsky District of St. Petersburg,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,59.73695,30.40553
Санкт-Петербург,Отдел полиции № 4 Пушкинского района г. Санкт-Петербурга,Police Department No. 4 Pushkinsky District of St. Petersburg,Отдел полиции № 4 Пушкинского района г. Санкт-Петербурга,59.73695,30.40553
Санкт-Петербург,Отдел МВД по Курортному району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs in the Resort District of St. Petersburg,Отдел МВД по Курортному району г. Санкт-Петербурга,60.18823,29.80873
Санкт-Петербург,Отдел полиции № 39 Колпинского района г. Санкт-Петербурга,Police Department No. 39 of the Kolpinsky district of St. Petersburg,Отдел полиции № 39 Колпинского района г. Санкт-Петербурга,59.81182,30.57789
Санкт-Петербург,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs for the Petrodvortsum District of St. Petersburg,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,59.87766,29.85881
Санкт-Петербург,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,Police Department No. 55 Kolpinsky District of St. Petersburg,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Санкт-Петербург,Отдел МВД по Кронштадтскому району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs for the Kronstadt District of St. Petersburg,Отдел МВД по Кронштадтскому району г. Санкт-Петербурга,59.99433,29.76441
Екатеринбург,Отдел полиции № 5 УМВД по городу Екатеринбургу,Police Department No. 5 Ministry of Internal Affairs in Ekaterinburg,"Отдел полиции № 5 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Пушкин,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs for Pushkinsky District of St. Petersburg,Отдел МВД по Пушкинскому району г. Санкт-Петербурга,59.73695,30.40553
Иркутск,Отдел полиции № 7 УМВД по г. Иркутску,Police Department No. 7 UMVD in Irkutsk,Отдел полиции № 7 УМВД по г. Иркутску,52.2749,104.3199
Омск,Отдел полиции № 10 УМВД по г. Омску,Police Department No. 10 Umvd in Omsk,Отдел полиции № 10 УМВД по г. Омску,54.98684,73.37965
Архангельск,Отдел полиции № 3 (по обслуживанию Ломоносовского округа г. Архангельска),Police Department No. 3 (for servicing the Lomonosovsky District of Arkhangelsk),Отдел полиции № 3 (по обслуживанию Ломоносовского округа г. Архангельска),64.53122181,40.55712398
Кемерово,Отдел полиции «Центральный» УМВД по г. Кемерово,"Police Department ""Central"" Ministry of Internal Affairs for the city of Kemerovo",Отдел полиции «Центральный» УМВД по г. Кемерово,55.36078,86.07205
Астрахань,УМВД России по г. Астрахани,Ministry of Internal Affairs of Russia in Astrakhan,УМВД России по г. Астрахани,46.35335,48.0386
Курган,Отдел полиции № 1 УМВД по г. Кургану,Police Department No. 1 Umvd for the city of Kurgan,Отдел полиции № 1 УМВД по г. Кургану,55.44414,65.35869
Тверь,Отдел полиции Центральный УМВД по городу Твери,Police Department Central Ministry of Internal Affairs in Tver City,"Отдел полиции Центральный УМВД по городу Твери, Тверь",56.84643,35.90852
Псков,Отдел полиции № 2 УМВД по городу Пскову,Police Department No. 2 UMVD in the city of Pskov,"Отдел полиции № 2 УМВД по городу Пскову, Псков",57.82219,28.36455
Петергоф,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,Department of the Ministry of Internal Affairs for the Petrodvortsum District of St. Petersburg,Отдел МВД по Петродворцовому району г. Санкт-Петербурга,59.87766,29.85881
Туапсе,Отдел МВД по Туапсинскому району,Department of the Ministry of Internal Affairs in the Tuapse district,"Отдел МВД по Туапсинскому району, Туапсе",44.09892,39.07499
Москва,Ломоносовский,Lomonosovsky,"Ломоносовский, Москва",55.6955,37.55647
Москва,ОМВД России по району Якиманка г. Москвы,OMVD of Russia in the area of ​​Yakimanka Moscow,ОМВД России по району Якиманка г. Москвы,55.73641,37.62014
Москва,ОМВД Ростокино,OMVD Rostokino,"ОМВД Ростокино, Москва",55.83776,37.66508
Москва,ОМВД России по району Сокол г. Москвы,OMVD of Russia in the area of ​​Sokol Moscow,ОМВД России по району Сокол г. Москвы,55.80043,37.51794
Москва,ОМВД России по району Хорошевский г. Москвы,OMVD of Russia in the district of Khoroshevsky Moscow,ОМВД России по району Хорошевский г. Москвы,55.77941,37.53734
Москва,Отдел МВД России по Рязанскому району,Department of the Ministry of Internal Affairs of Russia for Ryazan District,"Отдел МВД России по Рязанскому району, Москва",55.7165,37.74447
Москва,МО МВД России «Троицкий» г. Москвы,"MO Ministry of Internal Affairs of Russia ""Troitsky"" of Moscow",МО МВД России «Троицкий» г. Москвы,55.76474,37.61154
Москва,ОМВД России по району Соколиная Гора г. Москвы,OMVD of Russia in the area of ​​Sokolina Mountain in Moscow,ОМВД России по району Соколиная Гора г. Москвы,55.78532,37.7331
Москва,Хорошево-Мневники (новое здание),Honest Museum (New Building),"Хорошево-Мневники (новое здание), Москва",55.77772,37.50295
Москва,ОМВД России по району Чертаново Южное г. Москвы,OMVD of Russia in the area of ​​Chertanovo South Moscow,ОМВД России по району Чертаново Южное г. Москвы,55.60066,37.59021
Москва,ОМВД России по району Орехово-Борисово Северное г. Москвы,OMVD of Russia in the area of ​​Orekhovo-Borisovo North Moscow,ОМВД России по району Орехово-Борисово Северное г. Москвы,55.62586,37.72465
Москва,Отдел МВД по Ступинскому району,Department of the Ministry of Internal Affairs in the Stupinsky district,"Отдел МВД по Ступинскому району, Москва",55.76474,37.61154
Москва,Отдел МВД России по Южнопортовому району,Department of the Ministry of Internal Affairs of Russia in the South-Purpose District,"Отдел МВД России по Южнопортовому району, Москва",55.70394,37.67583
Санкт-Петербург,Отдел полиции № 3 Калининского района г. Санкт-Петербурга,Police Department No. 3 Kalininsky District of St. Petersburg,Отдел полиции № 3 Калининского района г. Санкт-Петербурга,60.01907,30.41495
Санкт-Петербург,Отдел полиции № 21 Калининского района г. Санкт-Петербурга,Police Department No. 21 Kalininsky District of St. Petersburg,Отдел полиции № 21 Калининского района г. Санкт-Петербурга,59.98465,30.4
Санкт-Петербург,Отдел полиции № 6 Калининского района г. Санкт-Петербурга,Police Department No. 6 Kalininsky District of St. Petersburg,Отдел полиции № 6 Калининского района г. Санкт-Петербурга,60.019023,30.395615
Санкт-Петербург,Отдел полиции № 5 Фрунзенского района г. Санкт-Петербурга,Police Department No. 5 of Frunzensky District of St. Petersburg,Отдел полиции № 5 Фрунзенского района г. Санкт-Петербурга,59.8739,30.38392
Екатеринбург,Отдел полиции № 1 УМВД по городу Екатеринбургу,Department of Police No. 1 Ministry of Internal Affairs in Ekaterinburg,"Отдел полиции № 1 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 12 УМВД по городу Екатеринбургу,Police Department No. 12 UMVD in the city of Yekaterinburg,"Отдел полиции № 12 УМВД по городу Екатеринбургу, Екатеринбург",56.78036,60.60742
Екатеринбург,Отдел полиции № 3 УМВД по городу Екатеринбургу,Department of Police No. 3 UMVD in the city of Yekaterinburg,"Отдел полиции № 3 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Иваново,Отдел полиции № 4 «Фрунзенский»,"Police Department No. 4 ""Frunzensky""","Отдел полиции № 4 «Фрунзенский», Иваново",55.47065,37.57259
Пермь,Отдел полиции № 6 (дисл. Ленинский р-н) УМВД по г. Перми,Police Department No. 6 (Leninsky District) Umvd in Perm,Отдел полиции № 6 (дисл. Ленинский р-н) УМВД по г. Перми,58.01358,56.25538
Красноярск,Отдел полиции № 5 МУ МВД «Красноярское»,"Police Department No. 5 MU MVD ""Krasnoyarskoye""","Отдел полиции № 5 МУ МВД «Красноярское», Красноярск",55.76997,37.61325
Красноярск,Отдел полиции № 7 МУ МВД «Красноярское»,"Police Department No. 7 MU MVD ""Krasnoyarskoye""","Отдел полиции № 7 МУ МВД «Красноярское», Красноярск",55.76997,37.61325
Хабаровск,Отдел полиции № 4 УМВД по г. Хабаровску,Police Department No. 4 Umvd in Khabarovsk,Отдел полиции № 4 УМВД по г. Хабаровску,48.48858,135.0752
Химки,Линейный отдел МВД России на станции Москва-Ленинградская,Linear department of the Ministry of Internal Affairs of Russia at Moscow-Leningrad Station,"Линейный отдел МВД России на станции Москва-Ленинградская, Химки",55.43332,37.56479
Новочеркасск,Отдел полиции № 1 МУ МВД «Новочеркасское»,Police Department No. 1 MU MVD Novocherkasskoe,"Отдел полиции № 1 МУ МВД «Новочеркасское», Новочеркасск",55.76997,37.61325
Новороссийск,Отдел полиции (Центральный район) УМВД по г. Новороссийску,Police Department (Central District) Ministry of Internal Affairs for the city of Novorossiysk,Отдел полиции (Центральный район) УМВД по г. Новороссийску,44.71539,37.77495
Ялта,Отдел полиции № 3 «Массандровский» УМВД по г. Ялта,"Police Department No. 3 ""Massandrovsky"" Ministry of Internal Affairs in Yalta",Отдел полиции № 3 «Массандровский» УМВД по г. Ялта,55.31101,37.52129
Архангельск,Отдел полиции № 4 (по обслуживанию Октябрьского округа г. Архангельска),Department of Police No. 4 (for the maintenance of the Oktyabrsky District of Arkhangelsk),Отдел полиции № 4 (по обслуживанию Октябрьского округа г. Архангельска),64.53815,40.51204
Москва,ОМВД по району Дмитровский,OMVD in the district Dmitrovsky,"ОМВД по району Дмитровский, Москва",55.88543,37.53808
Москва,Отдел МВД России по Косино-Ухтомскому району г. Москвы,Department of the Ministry of Internal Affairs of Russia in the Koshino-Ukhtsky district of Moscow,Отдел МВД России по Косино-Ухтомскому району г. Москвы,55.71079,37.85208
Москва,Отдел МВД России по району Митино г. Москвы,Department of the Ministry of Internal Affairs of Russia in the district of Mitino city of Moscow,Отдел МВД России по району Митино г. Москвы,55.85803,37.3426
Москва,ОМВД России по району Коньково г. Москвы,OMVD of Russia in the area of ​​Konkovo ​​Moscow,ОМВД России по району Коньково г. Москвы,55.6403,37.5181
Москва,Отдел МВД России по району Вешняки г. Москвы,Department of the Ministry of Internal Affairs of Russia in the district of the village of Moscow,Отдел МВД России по району Вешняки г. Москвы,55.72139,37.80952
Москва,Отдел МВД России по району Гольяново г. Москвы,"Department of the Ministry of Internal Affairs of Russia in the district of Goljanovo, Moscow",Отдел МВД России по району Гольяново г. Москвы,55.81642,37.79605
Москва,ОМВД России по району Бутово Северное г. Москвы,OMVD of Russia in the district of Butovo North Moscow,ОМВД России по району Бутово Северное г. Москвы,55.57633,37.57528
Москва,3-й отдел полиции УВД на Московском метрополитене,3rd police department of the Department of Internal Affairs at the Moscow Metropolitan,"3-й отдел полиции УВД на Московском метрополитене, Москва",55.74091,37.61751
Москва,МО МВД России «Коммунарский» г. Москвы,"MO Ministry of Internal Affairs of Russia ""Communarsky"" Moscow",МО МВД России «Коммунарский» г. Москвы,55.54227,37.49411
Москва,Отдел полиции № 33 Московского района г. Санкт-Петербурга,Police Department No. 33 of the Moscow District of St. Petersburg,Отдел полиции № 33 Московского района г. Санкт-Петербурга,59.8597,30.3514
Москва,ОМВД России по району Молжаниновский г. Москвы,OMVD of Russia in the district of Muszhaninovsky Moscow,ОМВД России по району Молжаниновский г. Москвы,55.94819,37.34811
Москва,ОМВД России по Левобережному району г. Москвы,OMVD of Russia in the left-bank district of Moscow,ОМВД России по Левобережному району г. Москвы,55.86873,37.47454
Москва,ОМВД России по району Раменки г. Москвы,OMVD of Russia in the Ramenki district of Moscow,ОМВД России по району Раменки г. Москвы,55.69559,37.50795
Москва,Отдел МВД России по Можайскому району г. Москвы,Department of the Ministry of Internal Affairs of Russia in Mozhaisk district of Moscow,Отдел МВД России по Можайскому району г. Москвы,55.71988,37.44572
Москва,ОМВД России по районам Силино и Старое Крюково г. Москвы,OMVD of Russia in the areas of Silino and the old Kryukovo of Moscow,ОМВД России по районам Силино и Старое Крюково г. Москвы,55.97927,37.17867
Москва,МО МВД России «Московский» г. Москвы,"MO Ministry of Internal Affairs of Russia ""Moscow"" of Moscow",МО МВД России «Московский» г. Москвы,55.64386,37.40979
Москва,Отдел МВД России по району Богородское г. Москвы,Department of the Ministry of Internal Affairs of Russia in the District of the Bogorodskoye Moscow,Отдел МВД России по району Богородское г. Москвы,55.81447,37.72681
Санкт-Петербург,Отдел полиции № 36 Выборгского района г. Санкт-Петербурга,Department of Police No. 36 of the Vyborg district of St. Petersburg,Отдел полиции № 36 Выборгского района г. Санкт-Петербурга,60.02671,30.32713
Санкт-Петербург,Отдел полиции № 46 Петродворцовому району г. Санкт-Петербурга,Police Department No. 46 Petrodvortsovaya District of St. Petersburg,Отдел полиции № 46 Петродворцовому району г. Санкт-Петербурга,59.84803,30.03598
Санкт-Петербург,12 отдел полиции по Фрунзенскому району Санкт-Петербурга,12 Police Department for Frunzen District St. Petersburg,"12 отдел полиции по Фрунзенскому району Санкт-Петербурга, Санкт-Петербург",59.86426,30.39881
Санкт-Петербург,Отдел полиции № 10 Невского района г. Санкт-Петербурга,Police Department No. 10 Nevsky District of St. Petersburg,Отдел полиции № 10 Невского района г. Санкт-Петербурга,59.88762,30.41984
Санкт-Петербург,Отдел полиции № 37 Василеостровского района г. Санкт-Петербурга,Police Department No. 37 Vasileostrovsky District of St. Petersburg,Отдел полиции № 37 Василеостровского района г. Санкт-Петербурга,59.95815,30.22314
Санкт-Петербург,Управление МВД России по Гатчинскому району,Office of the Ministry of Internal Affairs of Russia in Gatchina District,"Управление МВД России по Гатчинскому району, Санкт-Петербург",59.56607,30.12028
Санкт-Петербург,УМВД по Фрунзенскому району г. Санкт-Петербурга,UMVD in Frunzen district of St. Petersburg,УМВД по Фрунзенскому району г. Санкт-Петербурга,59.90648,30.34933
Санкт-Петербург,Отдел полиции № 24 Невского района г. Санкт-Петербурга,Police Department No. 24 Nevsky District of St. Petersburg,Отдел полиции № 24 Невского района г. Санкт-Петербурга,59.88202,30.48488
Санкт-Петербург,Отдел МВД по Лодейнопольскому району Ленинградской области,Department of the Ministry of Internal Affairs in Lodejornopol district of the Leningrad Region,"Отдел МВД по Лодейнопольскому району Ленинградской области, Санкт-Петербург",60.735,33.52464
Санкт-Петербург,Отдел полиции № 23 Невского района г. Санкт-Петербурга,Police Department No. 23 Nevsky District of St. Petersburg,Отдел полиции № 23 Невского района г. Санкт-Петербурга,59.91258,30.49932
Санкт-Петербург,Отдел полиции № 60 Василеостровского района г. Санкт-Петербурга,Police Department No. 60 Vasileostrovsky District of St. Petersburg,Отдел полиции № 60 Василеостровского района г. Санкт-Петербурга,59.95325,30.25578
Нижний Новгород,Отдел полиции № 8 УМВД по Нижнему Новгороду,Police Department No. 8 Ministry of Internal Affairs for Nizhny Novgorod,"Отдел полиции № 8 УМВД по Нижнему Новгороду, Нижний Новгород",56.34942,43.87351
Нижний Новгород,Отдел полиции № 4 УМВД по Нижнему Новгороду,Police Department No. 4 UMVD on Nizhny Novgorod,"Отдел полиции № 4 УМВД по Нижнему Новгороду, Нижний Новгород",56.33422,43.88127
Казань,Отдел полиции № 8 «Горки» УМВД по г Казани,"Police Department No. 8 ""Gorki"" Ministry of Internal Affairs in Kazan","Отдел полиции № 8 «Горки» УМВД по г Казани, Казань",55.76959,49.14036
Казань,Отдел полиции № 5 «Московский» УМВД по г. Казани,"Police Department No. 5 ""Moscow"" Ministry of Internal Affairs for the city of Kazan",Отдел полиции № 5 «Московский» УМВД по г. Казани,55.82576,49.05313
Казань,Отдел полиции № 3 «Зареченский» УМВД по г. Казани,"Police Department No. 3 ""Zarechensky"" Ministry of Internal Affairs for the city of Kazan",Отдел полиции № 3 «Зареченский» УМВД по г. Казани,55.81785,49.05537
Самара,Отдел полиции № 1,Police Department No. 1,"Отдел полиции № 1, Самара",53.23375,50.24503
Самара,Отдел полиции № 7,Police Department number 7,"Отдел полиции № 7, Самара",53.10738,50.08174
Новосибирск,Отдел полиции № 4 «Калининский»,"Police Department No. 4 ""Kalininsky""","Отдел полиции № 4 «Калининский», Новосибирск",55.08318,82.96524
Челябинск,Отдел полиции № 3 (Советский район) УМВД по городу Челябинску,Police Department No. 3 (Soviet District) Ministry of Internal Affairs in the city of Chelyabinsk,"Отдел полиции № 3 (Советский район) УМВД по городу Челябинску, Челябинск",55.55446,37.71011
Челябинск,Отдел полиции № 6 (Калининский район) УМВД по городу Челябинску,Police Department No. 6 (Kalininsky District) Ministry of Internal Affairs in the city of Chelyabinsk,"Отдел полиции № 6 (Калининский район) УМВД по городу Челябинску, Челябинск",55.18504,61.42798
Архангельск,УМВД России по городу Архангельску,Ministry of Internal Affairs of Russia in the city of Arkhangelsk,"УМВД России по городу Архангельску, Архангельск",64.55662,40.5287
Уфа,Отдел полиции № 7 (Советский район),Police Department No. 7 (Soviet District),"Отдел полиции № 7 (Советский район), Уфа",54.73831,55.98556
Омск,Отдел полиции № 6 УМВД по г. Омску,Police Department No. 6 UMVD in Omsk,Отдел полиции № 6 УМВД по г. Омску,54.95899,73.40957
Саратов,Отдел полиции № 4 в составе УМВД по городу Саратову (Ленинский район),Police Department No. 4 in the Ministry of Internal Affairs of the city of Saratov (Leninsky district),"Отдел полиции № 4 в составе УМВД по городу Саратову (Ленинский район), Саратов",51.583303,45.97758
Калуга,УМВД России по г. Калуге,Ministry of Internal Affairs of Russia in Kaluga,УМВД России по г. Калуге,54.535281,36.255576
Сыктывкар,Отдел полиции № 1 в составе УМВД по г. Сыктывкару,Police Department No. 1 as part of the Ministry of Internal Affairs in Syktyvkar,Отдел полиции № 1 в составе УМВД по г. Сыктывкару,61.692959,50.807771
Барнаул,Отдел полиции № 1 УМВД по г. Барнаулу,Police Department No. 1 Umvd in Barnaul,Отдел полиции № 1 УМВД по г. Барнаулу,53.356361,83.767235
Барнаул,Отдел полиции № 4 УМВД по г. Барнаулу,Police Department No. 4 Umvd in Barnaulu,Отдел полиции № 4 УМВД по г. Барнаулу,53.356361,83.767235
Симферополь,Отдел полиции № 3 «Центральный» УМВД по г. Симферополю,"Police Department No. 3 ""Central"" Ministry of Internal Affairs for Simferopol",Отдел полиции № 3 «Центральный» УМВД по г. Симферополю,53.258513,83.695434
Екатеринбург,Отдел полиции № 6 УМВД по городу Екатеринбургу,Police Department No. 6 Ministry of Internal Affairs in Ekaterinburg,"Отдел полиции № 6 УМВД по городу Екатеринбургу, Екатеринбург",56.78727,60.781983
Сочи,Отдел полиции (Центрального района) УМВД по г. Сочи,Police Department (Central District) Ministry of Internal Affairs in Sochi,Отдел полиции (Центрального района) УМВД по г. Сочи,43.594107,39.728868
Магнитогорск,Отдел полиции № 10 (Орджоникидзевский П) УМВД по г. Магнитогорску,Police Department No. 10 (Ordzhonikidzevsky P) Ministry of Internal Affairs for Magnitogorsk,Отдел полиции № 10 (Орджоникидзевский П) УМВД по г. Магнитогорску,53.369879,58.956829
Магнитогорск,Отдел полиции № 8 (Ленинский) УМВД по г. Магнитогорску,Police Department No. 8 (Leninsky) Ministry of Internal Affairs in Magnitogorsk,Отдел полиции № 8 (Ленинский) УМВД по г. Магнитогорску,53.433422,58.989397
Магнитогорск,Отдел полиции № 9 (Правобережный) УМВД по г. Магнитогорску,Police Department No. 9 (right-bank) Ministry of Internal Affairs in Magnitogorsk,Отдел полиции № 9 (Правобережный) УМВД по г. Магнитогорску,53.400158,58.96094
Набережные Челны,Отдел полиции № 3 «Центральный» УМВД по г. Набережные Челны,"Police Department No. 3 ""Central"" Ministry of Internal Affairs for the city of Naberezhnye Chelny",Отдел полиции № 3 «Центральный» УМВД по г. Набережные Челны,55.747511,52.389934
Ставрополь,Отдел полиции № 1 УМВД по г. Ставрополю,Police Department No. 1 UMVD in Stavropol,Отдел полиции № 1 УМВД по г. Ставрополю,45.03499,41.96587
Серпухов,Отдел полиции по Серпуховскому м. р.,Police department in Serpukhovsky m. R.,"Отдел полиции по Серпуховскому м. р., Серпухов",54.91134391,37.41596674
Южно-Сахалинск,УМВД по городу Южно-Сахалинску,UMVD in the city of Yuzhno-Sakhalinsk,"УМВД по городу Южно-Сахалинску, Южно-Сахалинск",46.960558,142.730177
Томск,Отдел МВД по Томскому району,Department of the Ministry of Internal Affairs at Tomsk District,"Отдел МВД по Томскому району, Томск",56.522132,85.066892
